id,start_date,start_time,_type,end_date,end_time,primary_organizer_id,primary_organizer.name,name,summary,primary_venue.name,primary_venue.address.longitude,primary_venue.address.latitude,primary_venue.address.localized_address_display
161439675415,2022-05-24,09:00,destination_event,2022-05-24,17:00,33692434589,Up Skills,"CAPM Certification Training in Indianapolis, in",CAPM 4 Days Certification Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
166034994137,2022-05-24,09:00,destination_event,2022-05-24,17:00,33139519085,Reform Skills Inc,"DevOps Certification Training In Bloomington, IN",DevOps Certification Training (Tuesday – Friday),Bloomington,-86.159345,39.7702698,"Regus Business Centre/Hotel, Bloomington, IN 47401"
157574869677,2022-05-24,09:00,destination_event,2022-05-24,17:00,33236948349,Knowledge Torch,"Devops Certification Training in Indianapolis, in",DevOps Certification Training,"Indianapolis, IN",-86.160095,39.769656,"Business Center, Indianapolis, IN, IN 46209"
164125005309,2022-05-26,09:00,destination_event,2022-05-26,17:00,33692434589,Up Skills,"CSM Certification Training in Indianapolis, IN",Certified Scrum Master® (CSM)   Certification 2 Days Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
168377633033,2022-05-24,09:00,destination_event,2022-05-24,17:00,34125891697,Knowledge Torch,"CAPM Certification 4 Days Training in Indianapolis, in",CAPM Certification 4 Days Training,"Indianapolis, IN",-86.159345,39.7702698,"Regus Business Center, Indianapolis, IN, IN 46209"
161292753969,2022-05-24,09:00,destination_event,2022-05-24,17:00,33692434589,Up Skills,"Lean Six Sigma Green Belt Certification Training in Indianapolis, IN",4 Days Lean Sig sigma Greenbelt Certification Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center/Hotel, Indianapolis, IN, IN 46209"
179968529717,2022-05-27,09:00,destination_event,2022-05-27,17:00,18449909606,Educera INC,"Project Management Techniques Classroom  Training in Kokomo, IN",Welcome to Educera! We thank you for visiting Educera Project Management Techniques Training training page.,Regus Business Centre,-86.159345,39.7702698,"Regus Business Centre, Kokomo, IN, IN 46901"
164090243335,2022-05-24,09:00,destination_event,2022-05-24,17:00,33691800179,IcertPlanner LLC,"Lean Six Sigma Green Belt Certification Training in Indianapolis, IN",Lean Six Sigma Green Belt 4 Days Certification Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center/Hotel, Indianapolis, IN, IN 46209"
158690779393,2022-05-25,09:00,destination_event,2022-05-25,17:00,33236948349,Knowledge Torch,"PgMP Certification Training in Indianapolis, in",PgMP  3 Days Certification Training,"Indianapolis, IN",-86.159345,39.7702698,"Regus Business Centre/Hotel, Indianapolis, IN, IN 46209"
189420390487,2022-05-24,09:00,destination_event,2022-05-24,17:00,33139519085,Reform Skills Inc,"Tableau Certification Training in Indianapolis, IN",Tableau Certification Training (Tuesday – Friday),Indianapolis,-86.159345,39.7702698,"Ragus Business Center, Indianapolis, IN 46077"
